node,degree
0,1
1,10
2,7
3,18
4,1
5,1
6,20
7,8
8,1
9,8
10,1
11,5
12,2
13,29
14,4
15,5
16,34
17,7
18,24
19,4
20,6
21,2
22,1
23,5
24,1
25,1
26,1
27,7
28,3
29,8
30,8
31,3
32,13
33,24
34,5
35,10
36,1
37,1
38,7
39,2
40,4
41,7
42,3
43,2
44,7
45,10
46,2
47,21
48,3
49,12
50,1
51,1
52,2
53,3
54,28
55,3
56,6
57,1
58,10
59,5
60,2
61,2
62,1
63,4
64,2
65,2
66,1
67,6
68,10
69,1
70,9
71,3
72,1
73,14
74,1
75,13
76,1
77,2
78,14
79,2
80,6
81,10
82,3
83,1
84,1
85,9
86,1
87,1
88,1
89,1
90,1
91,3
92,3
93,1
94,2
95,17
96,1
97,10
98,12
99,1
100,1
101,10
102,10
103,13
104,29
105,2
106,20
107,5
108,6
109,4
110,89
111,3
112,45
113,44
114,4
115,1
116,6
117,3
118,1
119,5
120,8
121,8
122,17
123,5
124,3
125,2
126,6
127,1
128,1
129,1
130,5
131,26
132,1
133,12
134,1
135,11
136,29
137,1
138,5
139,12
140,14
141,5
142,3
143,2
144,4
145,3
146,3
147,3
148,3
149,26
150,1
151,8
152,3
153,3
154,1
155,4
156,1
157,1
158,4
159,10
160,2
161,13
162,1
163,1
164,5
165,1
166,19
167,20
168,4
169,6
170,1
171,6
172,1
173,1
174,7
175,10
176,1
177,7
178,15
179,10
180,1
181,4
182,1
183,10
184,23
185,3
186,3
187,37
188,4
189,1
190,4
191,2
192,7
193,1
194,2
195,2
196,1
197,5
198,2
199,2
200,1
201,3
202,2
203,4
204,9
205,1
206,2
207,1
208,4
209,16
210,1
211,8
212,51
213,47
214,2
215,1
216,25
217,6
218,4
219,6
220,1
221,39
222,5
223,9
224,1
225,4
226,22
227,2
228,22
229,3
230,4
231,2
232,17
233,3
234,4
235,2
236,1
237,1
238,4
239,3
240,5
241,6
242,1
243,10
244,33
245,1
246,3
247,1
248,1
249,2
250,2
251,4
252,16
253,9
254,2
255,7
256,1
257,16
258,2
259,5
260,17
261,1
262,1
263,1
264,2
265,1
266,10
267,2
268,4
269,1
270,1
271,17
272,4
273,3
274,1
275,4
276,1
277,5
278,2
279,2
280,7
281,2
282,6
283,14
284,2
285,22
286,5
287,8
288,1
289,8
290,104
291,16
292,1
293,1
294,3
295,3
296,39
297,3
298,1
299,20
300,2
301,3
302,8
303,2
304,1
305,2
306,22
307,11
308,3
309,2
310,1
311,3
312,9
313,19
314,8
315,5
316,3
317,1
318,2
319,5
320,2
321,5
322,4
323,4
324,4
325,4
326,8
327,1
328,2
329,7
330,1
331,1
332,1
333,2
334,1
335,25
336,4
337,4
338,2
339,1
340,2
341,11
342,8
343,10
344,5
345,3
346,13
347,3
348,2
349,16
350,2
351,2
352,1
353,1
354,1
355,2
356,1
357,1
358,15
359,1
360,16
361,6
362,1
363,3
364,10
365,1
366,3
367,12
368,13
369,7
370,9
371,2
372,2
373,2
374,16
375,9
376,8
377,1
378,69
379,3
380,28
381,24
382,2
383,4
384,1
385,8
386,1
387,3
388,1
389,4
390,2
391,2
392,4
393,5
394,2
395,2
396,4
397,8
398,8
399,5
400,9
401,1
402,5
403,1
404,1
405,2
406,54
407,11
408,2
409,15
410,11
411,2
412,2
413,3
414,5
415,5
416,3
417,2
418,25
419,1
420,6
421,20
422,10
423,1
424,3
425,1
426,15
427,37
428,1
429,19
430,1
431,2
432,2
433,16
434,2
435,2
436,4
437,2
438,12
439,3
440,18
441,4
442,6
443,5
444,5
445,2
446,8
447,2
448,8
449,2
450,1
451,5
452,12
453,3
454,6
455,1
456,1
457,1
458,2
459,1
460,2
461,8
462,10
463,3
464,14
465,6
466,1
467,2
468,10
469,18
470,1
471,30
472,3
473,46
474,20
475,2
476,2
477,3
478,5
479,4
480,4
481,1
482,7
483,3
484,29
485,4
486,8
487,11
488,23
489,1
490,5
491,1
492,7
493,1
494,4
495,1
496,9
497,1
498,9
499,2
500,8
501,4
502,20
503,9
504,13
505,8
506,2
507,1
508,10
509,1
510,1
511,1
512,2
513,5
514,8
515,6
516,1
517,10
518,7
519,9
520,20
521,22
522,8
523,1
524,172
525,4
526,1
527,6
528,1
529,1
530,2
531,2
532,2
533,1
534,3
535,3
536,2
537,4
538,29
539,10
540,11
541,9
542,3
543,36
544,2
545,1
546,3
547,4
548,1
549,2
550,44
551,1
552,2
553,9
554,1
555,3
556,1
557,4
558,5
559,4
560,3
561,1
562,5
563,7
564,1
565,1
566,17
567,5
568,1
569,2
570,3
571,10
572,3
573,5
574,3
575,4
576,3
577,1
578,1
579,1
580,1
581,1
582,13
583,3
584,4
585,5
586,1
587,1
588,1
589,1
590,3
591,7
592,1
593,2
594,16
595,3
596,3
597,1
598,11
599,13
600,15
601,5
602,14
603,5
604,1
605,2
606,3
607,13
608,2
609,7
610,1
611,10
612,25
613,4
614,5
615,11
616,1
617,5
618,7
619,9
620,1
621,2
622,2
623,7
624,1
625,3
626,1
627,2
628,6
629,2
630,22
631,2
632,5
633,9
634,10
635,6
636,2
637,4
638,3
639,4
640,21
641,14
642,5
643,8
644,2
645,60
646,6
647,27
648,2
649,3
650,5
651,7
652,7
653,1
654,7
655,2
656,1
657,1
658,1
659,9
660,8
661,16
662,4
663,1
664,3
665,1
666,6
667,35
668,6
669,1
670,6
671,14
672,2
673,5
674,16
675,2
676,1
677,1
678,1
679,4
680,1
681,2
682,9
683,11
684,4
685,8
686,8
687,3
688,6
689,2
690,2
691,6
692,2
693,1
694,8
695,1
696,1
697,2
698,1
699,1
700,3
701,1
702,5
703,2
704,8
705,12
706,19
707,2
708,14
709,8
710,9
711,17
712,2
713,5
714,1
715,8
716,1
717,1
718,23
719,6
720,5
721,7
722,1
723,7
724,3
725,8
726,4
727,2
728,8
729,13
730,4
731,1
732,3
733,7
734,1
735,2
736,12
737,2
738,6
739,13
740,2
741,4
742,4
743,31
744,5
745,1
746,5
747,8
748,5
749,1
750,11
751,4
752,1
753,1
754,1
755,2
756,1
757,10
758,16
759,5
760,4
761,1
762,1
763,87
764,3
765,13
766,32
767,1
768,1
769,4
770,1
771,15
772,4
773,1
774,2
775,3
776,4
777,5
778,13
779,5
780,4
781,2
782,1
783,1
784,1
785,5
786,4
787,2
788,4
789,1
790,1
791,1
792,8
793,14
794,4
795,2
796,1
797,1
798,25
799,14
800,1
801,2
802,2
803,5
804,2
805,11
806,15
807,3
808,2
809,4
810,11
811,2
812,1
813,9
814,1
815,4
816,5
817,20
818,1
819,2
820,2
821,12
822,2
823,2
824,2
825,1
826,1
827,20
828,15
829,3
830,9
831,3
832,5
833,4
834,1
835,3
836,1
837,3
838,4
839,8
840,14
841,1
842,15
843,17
844,2
845,5
846,13
847,10
848,6
849,3
850,1
851,6
852,4
853,1
854,22
855,2
856,1
857,2
858,15
859,2
860,11
861,1
862,3
863,3
864,3
865,8
866,31
867,10
868,2
869,2
870,8
871,1
872,1
873,6
874,5
875,4
876,9
877,2
878,1
879,18
880,2
881,8
882,4
883,3
884,6
885,6
886,3
887,27
888,8
889,8
890,2
891,16
892,1
893,1
894,27
895,6
896,1
897,9
898,12
899,4
900,10
901,2
902,3
903,9
904,19
905,2
906,1
907,26
908,4
909,2
910,1
911,2
912,2
913,2
914,2
915,1
916,8
917,2
918,7
919,16
920,7
921,1
922,3
923,3
924,12
925,11
926,8
927,1
928,8
929,8
930,14
931,1
932,10
933,37
934,2
935,5
936,24
937,2
938,5
939,1
940,1
941,2
942,5
943,1
944,6
945,7
946,1
947,1
948,1
949,1
950,8
951,63
952,2
953,9
954,3
955,16
956,4
957,1
958,30
959,3
960,11
961,15
962,2
963,1
964,1
965,2
966,3
967,1
968,6
969,1
970,9
971,1
972,14
973,6
974,3
975,1
976,7
977,3
978,2
979,1
980,12
981,2
982,20
983,14
984,6
985,19
986,2
987,1
988,8
989,15
990,2
991,1
992,1
993,1
994,7
995,1
996,3
997,10
998,33
999,11
1000,3
1001,18
1002,3
1003,2
1004,3
1005,84
1006,8
1007,6
1008,27
1009,12
1010,6
1011,10
1012,11
1013,1
1014,7
1015,12
1016,13
1017,27
1018,3
1019,5
1020,15
1021,1
1022,1
1023,2
1024,1
1025,20
1026,4
1027,5
1028,3
1029,3
1030,1
1031,7
1032,3
1033,1
1034,2
1035,3
1036,1
1037,1
1038,1
1039,17
1040,4
1041,10
1042,1
1043,10
1044,1
1045,1
1046,4
1047,6
1048,1
1049,3
1050,9
1051,6
1052,1
1053,2
1054,10
1055,10
1056,13
1057,36
1058,2
1059,3
1060,3
1061,1
1062,2
1063,2
1064,4
1065,12
1066,4
1067,2
1068,12
1069,1
1070,1
1071,1
1072,2
1073,1
1074,14
1075,2
1076,2
1077,7
1078,3
1079,1
1080,3
1081,1
1082,1
1083,7
1084,5
1085,1
1086,1
1087,3
1088,4
1089,6
1090,4
1091,1
1092,3
1093,6
1094,2
1095,2
1096,1
1097,1
1098,7
1099,2
1100,1
1101,1
1102,18
1103,7
1104,1
1105,2
1106,2
1107,39
1108,5
1109,4
1110,2
1111,2
1112,1
1113,8
1114,6
1115,4
1116,1
1117,10
1118,8
1119,14
1120,2
1121,4
1122,1
1123,2
1124,1
1125,3
1126,6
1127,7
1128,6
1129,16
1130,10
1131,7
1132,21
1133,9
1134,2
1135,7
1136,3
1137,27
1138,1
1139,1
1140,8
1141,9
1142,2
1143,1
1144,1
1145,1
1146,10
1147,7
1148,2
1149,30
1150,41
1151,1
1152,3
1153,2
1154,4
1155,4
1156,2
1157,5
1158,10
1159,4
1160,1
1161,7
1162,1
1163,2
1164,11
1165,6
1166,18
1167,2
1168,8
1169,1
1170,5
1171,2
1172,1
1173,2
1174,9
1175,3
1176,3
1177,1
1178,4
1179,7
1180,26
1181,1
1182,1
1183,4
1184,1
1185,6
1186,3
1187,4
1188,1
1189,8
1190,4
1191,1
1192,2
1193,6
1194,1
1195,1
1196,1
1197,2
1198,4
1199,2
1200,6
1201,3
1202,4
1203,12
1204,1
1205,3
1206,1
1207,21
1208,2
1209,5
1210,3
1211,2
1212,3
1213,6
1214,4
1215,1
1216,13
1217,1
1218,2
1219,12
1220,2
1221,11
1222,15
1223,33
1224,5
1225,4
1226,13
1227,2
1228,11
1229,5
1230,25
1231,5
1232,10
1233,17
1234,8
1235,1
1236,11
1237,3
1238,3
1239,6
1240,4
1241,1
1242,1
1243,3
1244,2
1245,1
1246,6
1247,1
1248,2
1249,4
1250,25
1251,2
1252,2
1253,6
1254,6
1255,7
1256,1
1257,1
1258,11
1259,2
1260,8
1261,2
