E,k_avg,k2_avg,c_avg,r,modularity,n_comm,knn_uncorr
27650.0,7.2534,180.0627,0.0084,-0.0059,0.3341,56.0,24.8246
27645.0,7.2521,179.9971,0.0082,-0.005,0.3351,36.0,24.82
27636.0,7.2497,179.7366,0.0083,-0.0113,0.335,52.0,24.7922
27646.0,7.2524,180.1786,0.0074,-0.0182,0.336,53.0,24.8441
27632.0,7.2487,179.909,0.0074,-0.011,0.335,47.0,24.8195
27645.0,7.2521,180.0556,0.007,-0.0135,0.3329,57.0,24.8281
27627.0,7.2474,179.4265,0.0072,-0.0066,0.331,54.0,24.7574
27640.0,7.2508,179.8995,0.0086,-0.0019,0.3353,43.0,24.811
27659.0,7.2558,180.3725,0.0081,-0.0064,0.333,48.0,24.8592
27649.0,7.2531,179.9234,0.0079,-0.0065,0.3352,50.0,24.8062
27639.0,7.2505,179.7642,0.0081,-0.0077,0.3346,55.0,24.7933
27657.0,7.2552,180.6939,0.0078,-0.0158,0.3334,64.0,24.9053
27654.0,7.2545,180.0984,0.0077,-0.0157,0.3346,46.0,24.8259
27655.0,7.2547,180.3075,0.0079,-0.0155,0.3348,53.0,24.8538
27683.0,7.2621,181.453,0.0082,-0.0162,0.3347,46.0,24.9864
27635.0,7.2495,180.17,0.0071,-0.0213,0.3358,46.0,24.8528
27620.0,7.2455,178.962,0.0081,-0.011,0.3326,63.0,24.6996
27653.0,7.2542,180.3179,0.0089,-0.0069,0.3362,56.0,24.857
27658.0,7.2555,180.0971,0.0077,-0.0015,0.3349,40.0,24.8221
27644.0,7.2518,180.5218,0.0085,-0.0191,0.3351,60.0,24.8932
27647.0,7.2526,180.1842,0.0077,-0.0104,0.336,49.0,24.844
27662.0,7.2566,180.7794,0.0092,-0.0057,0.3316,46.0,24.9126
27650.0,7.2534,180.4869,0.0084,-0.0133,0.3325,61.0,24.883
27642.0,7.2513,180.1196,0.0083,-0.0068,0.3379,56.0,24.8396
27650.0,7.2534,180.1047,0.0071,-0.0035,0.3325,53.0,24.8303
27660.0,7.256,180.2726,0.0078,-0.0103,0.335,54.0,24.8445
27648.0,7.2529,180.4428,0.0076,-0.0088,0.3338,44.0,24.8788
27633.0,7.249,179.5942,0.0079,-0.0011,0.3341,60.0,24.7752
27667.0,7.2579,181.1582,0.0078,-0.0113,0.3341,56.0,24.9602
27649.0,7.2531,180.2214,0.0085,-0.011,0.3357,55.0,24.8473
27656.0,7.255,180.1393,0.0083,-0.003,0.3343,54.0,24.8297
27634.0,7.2492,179.2264,0.0081,-0.0076,0.3348,48.0,24.7236
27663.0,7.2568,180.5942,0.0085,-0.0141,0.3355,52.0,24.8861
27666.0,7.2576,180.4934,0.0078,-0.0088,0.3369,50.0,24.8696
27646.0,7.2524,180.6209,0.0084,-0.0105,0.334,49.0,24.9051
27635.0,7.2495,179.4866,0.0084,-0.0014,0.3345,48.0,24.7586
27633.0,7.249,179.7471,0.0077,-0.0065,0.3341,47.0,24.7963
27664.0,7.2571,180.6952,0.0091,-0.0048,0.335,60.0,24.8991
27644.0,7.2518,180.0391,0.0074,-0.013,0.3343,50.0,24.8267
27654.0,7.2545,180.4664,0.0079,-0.0171,0.3326,56.0,24.8766
27643.0,7.2516,179.8903,0.0089,-0.0113,0.3323,62.0,24.8071
27661.0,7.2563,180.4845,0.0079,-0.0095,0.3354,50.0,24.8728
27662.0,7.2566,180.6188,0.0063,-0.0144,0.3349,49.0,24.8904
27668.0,7.2581,180.4722,0.0082,-0.0057,0.3355,36.0,24.8648
27667.0,7.2579,180.9302,0.0083,-0.0096,0.3354,55.0,24.9288
27645.0,7.2521,180.4242,0.0071,-0.0037,0.3345,50.0,24.8789
27624.0,7.2466,179.2169,0.0079,-0.007,0.335,59.0,24.7312
27636.0,7.2497,179.92,0.0077,0.0011,0.3348,50.0,24.8174
27645.0,7.2521,180.0658,0.0074,-0.006,0.3356,49.0,24.8295
27662.0,7.2566,180.7621,0.0072,-0.0182,0.3365,41.0,24.9102
27632.0,7.2487,180.202,0.0087,-0.0123,0.3342,53.0,24.8599
27657.0,7.2552,180.6183,0.008,-0.0074,0.3344,43.0,24.8949
27661.0,7.2563,180.575,0.0073,-0.0015,0.3327,57.0,24.8853
27665.0,7.2573,180.9203,0.0079,-0.012,0.3353,51.0,24.9293
27674.0,7.2597,181.1186,0.008,-0.0152,0.3353,55.0,24.9485
27662.0,7.2566,181.1094,0.0068,-0.0178,0.3346,46.0,24.958
27652.0,7.2539,180.6498,0.0077,-0.014,0.3337,46.0,24.9037
27652.0,7.2539,180.2041,0.008,-0.0086,0.3355,53.0,24.8423
27646.0,7.2524,180.0821,0.0078,-0.0022,0.3316,55.0,24.8308
27628.0,7.2476,179.8864,0.0084,-0.0112,0.3351,55.0,24.82
27661.0,7.2563,181.1514,0.0085,-0.0109,0.3359,60.0,24.9647
27676.0,7.2602,180.8882,0.0085,-0.009,0.3353,60.0,24.9149
27655.0,7.2547,180.441,0.0073,0.0027,0.3341,49.0,24.8722
27636.0,7.2497,179.9252,0.0073,-0.0125,0.3348,51.0,24.8182
27654.0,7.2545,180.0228,0.0075,-0.0067,0.3337,49.0,24.8155
27650.0,7.2534,180.0388,0.0083,-0.0108,0.3352,47.0,24.8213
27643.0,7.2516,180.176,0.008,-0.0016,0.3345,50.0,24.8465
27626.0,7.2471,179.2671,0.0076,-0.0103,0.334,53.0,24.7363
27648.0,7.2529,179.7938,0.0078,-0.0146,0.3362,43.0,24.7893
27650.0,7.2534,180.1957,0.0079,-0.0087,0.3348,47.0,24.8429
27648.0,7.2529,180.3387,0.0071,-0.0244,0.3357,48.0,24.8644
