lambda,tau,P_end,gamma,N,nruns,M,source_priority,is_window,variant,source
0.001,0.994012697,0.0,2.5,10000,5000,53533,0,False,coarse,part2_N10000_g2.5.dat
0.004292,1.01532445,0.0,2.5,10000,5000,53533,0,False,coarse,part2_N10000_g2.5.dat
0.005,0.993056745,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.0055,1.02845727,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.006,1.02414916,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.0065,0.981804936,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.007,1.00900448,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.0075,1.04471086,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.008,1.01069186,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.0085,1.01998092,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.009,1.03310972,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.0095,1.0548953,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.01,1.04005403,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.0105,1.04375603,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.011,1.0486433,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.0115,1.0883824,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.012,1.05733114,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.0125,1.06488067,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.013,1.05339379,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.0135,1.09654069,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.014,1.08368328,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.0145,1.11072195,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.015,1.10843043,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.0155,1.14202336,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.016,1.15793814,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.0165,1.22139219,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
0.017,1.20844633,0.0,2.5,10000,5000,53679,1,True,_window,part2_N10000_g2.5_window.dat
